26.1,-98.6_Unnamed Road, Tamaulipas, Mexico
31.1,-90.6_7055-7059 Gordon Ln, Magnolia, MS 39652, USA
31.1,-89.6_195 Tatum Salt Dome Rd, Lumberton, MS 39455, USA
31.1,-88.6_4732 Cowboy Ln, Leakesville, MS 39451, USA
31.1,-87.6_Unnamed Road, Atmore, AL 36502, USA
31.1,-86.6_Unnamed Road, Wing, AL 36483, USA
31.1,-85.6_Red Top Ln, Slocomb, AL 36375, USA
31.1,-84.6_1082 Babcock Rd, Colquitt, GA 39837, USA
31.1,-83.6_1084-1142 Burgess Rd, Moultrie, GA 31788, USA
31.1,-82.6_7181 Carey James Rd, Manor, GA 31550, USA
31.1,-81.6_I-95 & GA-405, Waverly, GA 31565, USA
32.1,-112.6_Indian Rte 5, Sells, AZ 85634, USA
32.1,-111.6_Unnamed Road, Sells, AZ 85634, USA
32.1,-110.6_18280 E Gila Monster Way, Vail, AZ 85641, USA
32.1,-109.6_Unnamed Road, Willcox, AZ 85643, USA
32.1,-108.6_Unnamed Road, Playas, NM 88009, USA
32.1,-107.6_Unnamed Road, Deming, NM 88030, USA
32.1,-106.6_Anzio Rd, Vado, NM 88072, USA
32.1,-105.6_County Rd F015, Dell City, NM 79837, USA
32.1,-104.6_Yucca Canyon Trail, Carlsbad, NM 88220, USA
32.1,-103.6_Unnamed Road, Jal, NM 88252, USA
32.1,-102.6_SW 3601, Goldsmith, TX 79741, USA
32.1,-101.6_4209 S Farm to Market 818, Big Spring, TX 79720, USA
32.1,-100.6_Unnamed Road, Robert Lee, TX 76945, USA
32.1,-99.6_Co Rd 213, Clyde, TX 79510, USA
32.1,-98.6_751 Co Rd 463, De Leon, TX 76444, USA
32.1,-97.6_17887 Fm, Morgan, TX 76671, USA
32.1,-96.6_NW Co Rd 1190, Corsicana, TX 75110, USA
32.1,-95.6_15035 County Rd 4343, Larue, TX 75770, USA
32.1,-94.6_FM348, Henderson, TX 75654, USA
32.1,-93.6_I-49, Mansfield, LA 71052, USA
32.1,-92.6_Par Rd 1307, Dodson, LA 71422, USA
32.1,-91.6_2816-2822 LA-4, Gilbert, LA 71336, USA
32.1,-90.6_1750 Well House Rd, Utica, MS 39175, USA
32.1,-89.6_US Frst Service Rd 526, Raleigh, MS 39153, USA
32.1,-88.6_9235 MS-18, Quitman, MS 39355, USA
32.1,-87.6_Unnamed Road, Arlington, AL 36722, USA
32.1,-86.6_1307 Dickey Rd, Letohatchee, AL 36047, USA
32.1,-85.6_Co Rd 119, Union Springs, AL 36089, USA
32.1,-84.6_10491 US-280, Richland, GA 31825, USA
32.1,-83.6_9124 Tippettville Rd, Vienna, GA 31092, USA
32.1,-82.6_Unnamed Road, Mt Vernon, GA 30445, USA
32.1,-81.6_2812 GA-67, Pembroke, GA 31321, USA
33.1,-117.6_United States
33.1,-116.6_1865-1887 Wynola Rd, Julian, CA 92036, USA
33.1,-115.6_Ruegger Rd, Calipatria, CA 92233, USA
33.1,-114.6_Red Cloud Mine Rd, Cibola, AZ 85328, USA
33.1,-113.6_Unnamed Road, Arizona, USA
33.1,-112.6_Unnamed Road, Arizona, USA
33.1,-111.6_Unnamed Road, Coolidge, AZ 85128, USA
33.1,-110.6_Jerusalem Canyon Rd, Arizona, USA
33.1,-109.6_Black River Rd, Clifton, AZ 85533, USA
33.1,-108.6_Unnamed Road, Cliff, NM 88028, USA
33.1,-107.6_Unnamed Road, Winston, NM 87943, USA
33.1,-106.6_Unnamed Road, Truth or Consequences, NM 87901, USA
33.1,-105.6_Indian Service Rte 14, Cloudcroft, NM 88317, USA
33.1,-104.6_Old Y O Crossing Rd, Hagerman, NM 88232, USA
33.1,-103.6_Unnamed Road, Lovington, NM 88260, USA
33.1,-102.6_County Rd 270, Texas 79376, USA
33.1,-101.6_Co Rd GG, Tahoka, TX 79373, USA
33.1,-100.6_TX-70, Snyder, TX 79549, USA
33.1,-99.6_FM 2082, Haskell, TX 79521, USA
33.1,-98.6_200-204 West, Graham, TX 76450, USA
33.1,-97.6_Unnamed Road, Boyd, TX 76023, USA
33.1,-96.6_1531 Estates Pkwy, Allen, TX 75002, USA
33.1,-95.6_2019-2499 TX-154, Sulphur Springs, TX 75482, USA
33.1,-94.6_2709 Co Rd 2747, Hughes Springs, TX 75656, USA
33.1,-93.6_Dooley Rd, Lewisville, AR 71845, USA
33.1,-92.6_575 Pinson Rd, El Dorado, AR 71730, USA
33.1,-91.6_139 Ashley Road 352, Parkdale, AR 71661, USA
33.1,-90.6_1026 Po Boy Rd, Belzoni, MS 39038, USA
33.1,-89.6_Sanders Rd, Kosciusko, MS 39090, USA
33.1,-88.6_4256 Ms Hwy 145, Macon, MS 39341, USA
33.1,-87.6_11543 Maxwell Loop Rd, Tuscaloosa, AL 35405, USA
33.1,-86.6_1330 Co Rd 303, Shelby, AL 35143, USA
33.1,-85.6_Old Wadley Rd, Wadley, AL 36276, USA
33.1,-84.6_Barron Rd, Gay, GA 30218, USA
33.1,-83.6_336 Jackson Rd, Hillsboro, GA 31038, USA
33.1,-82.6_13300-14382 Grange Rd, Avera, GA 30803, USA
33.1,-81.6_2641 Steel Creek Rd, Martin, SC 29836, USA
33.1,-80.6_147 St Luke Dr, St George, SC 29477, USA
33.1,-79.6_Forrest Murrell Rd, McClellanville, SC 29458, USA
34.1,-118.6_635 CA-27, Topanga, CA 90290, USA
34.1,-117.6_9400 Cll Vejar, Rancho Cucamonga, CA 91730, USA
34.1,-116.6_Big Morongo Canyon Rd, Morongo Valley, CA 92256, USA
34.1,-115.6_73973 Twentynine Palms Highway, Twentynine Palms, CA 92277, USA
34.1,-114.6_Unnamed Road, Vidal, CA 92280, USA
34.1,-113.6_Unnamed Road, Bouse, AZ 85325, USA
34.1,-112.6_Constellation Rd, Wickenburg, AZ 85390, USA
34.1,-111.6_Arizona Trail, Payson, AZ 85541, USA
34.1,-110.6_Unnamed Road, Cibecue, AZ 85911, USA
34.1,-109.6_Unnamed Road, McNary, AZ 85930, USA
34.1,-108.6_Unnamed Road, Quemado, NM 87829, USA
34.1,-107.6_US-60, Magdalena, NM 87825, USA
34.1,-106.6_Unnamed Road, San Antonio, NM 87832, USA
34.1,-105.6_Unnamed Road, Corona, NM 88318, USA
34.1,-104.6_Gem Rd, Fort Sumner, NM 88119, USA
34.1,-103.6_3400-3598 S Roosevelt Rd 13, Elida, NM 88116, USA
34.1,-102.6_FM746, Sudan, TX 79371, USA
34.1,-101.6_2852-2898 Co Rd 150, Plainview, TX 79072, USA
34.1,-100.6_Unnamed Road, Childress, TX 79201, USA
34.1,-99.6_Co Rd 252, Chillicothe, TX 79225, USA
34.1,-98.6_304 Vaughn Rd, Burkburnett, TX 76354, USA
34.1,-97.6_E2010 Rd, Ringling, OK 73456, USA
34.1,-96.6_19196 Linn Rd, Madill, OK 73446, USA
34.1,-95.6_D2008 Rd, Hugo, OK 74743, USA
34.1,-94.6_Chisholm Trail, Eagletown, OK 74734, USA
34.1,-93.6_Cooper Loop, Murfreesboro, AR 71958, USA
34.1,-92.6_Tram Trail, Smith Township, AR, USA
34.1,-91.6_Unnamed Road, Stuttgart, AR 72160, USA
34.1,-90.6_1005 Hallie Beth Ln, Clarksdale, MS 38614, USA
34.1,-89.6_Unnamed Road, Water Valley, MS 38965, USA
34.1,-88.6_839-969 Co Rd 1277, Nettleton, MS 38858, USA
34.1,-87.6_1504 Co Rd 3501, Haleyville, AL 35565, USA
34.1,-86.6_899 Ketchum Rd, Blountsville, AL 35031, USA
34.1,-85.6_Co Rd 525, Centre, AL 35960, USA
34.1,-84.6_231-233 Sable Trace Dr, Acworth, GA 30102, USA
34.1,-83.6_1660 Winder Hwy, Jefferson, GA 30549, USA
34.1,-82.6_717 N Calhoun Shores Pkwy, Calhoun Falls, SC 29628, USA
34.1,-81.6_268 Peacock Rd, Prosperity, SC 29127, USA
34.1,-80.6_Ice House Hill Rd, Rembert, SC 29128, USA
34.1,-79.6_3091 N Old River Rd, Florence, SC 29505, USA
34.1,-78.6_Unnamed Road, Nakina, NC 28455, USA
34.1,-77.6_United States
35.1,-120.6_2600 Christmas Tree Pl, Oceano, CA 93445, USA
35.1,-119.6_Simmler Soda Lake Rd, Fellows, CA 93224, USA
35.1,-118.6_19000-24298 Pellisier Rd, Tehachapi, CA 93561, USA
35.1,-117.6_Kramer Station Rd, Boron, CA 93516, USA
35.1,-116.6_Unnamed Road, Newberry Springs, CA 92365, USA
35.1,-115.6_Kelso Cima Rd, Essex, CA 92332, USA
35.1,-114.6_1330-1392 Marina Blvd, Bullhead City, AZ 86442, USA
35.1,-113.6_4814 S Blue Stone Rd, Kingman, AZ 86401, USA
35.1,-112.6_37255 Arizona Rd, Ash Fork, AZ 86320, USA
35.1,-111.6_Forest Service Rd 762, Flagstaff, AZ 86001, USA
35.1,-110.6_Unnamed Road, Winslow, AZ 86047, USA
35.1,-109.6_I-40, Chambers, AZ 86502, USA
35.1,-108.6_Unnamed Road, Zuni, NM 87327, USA
35.1,-107.6_Unnamed Road, Casa Blanca, NM 87007, USA
35.1,-106.6_1822 Morningside Dr NE, Albuquerque, NM 87110, USA
35.1,-105.6_Unnamed Road, Stanley, NM 87056, USA
35.1,-104.6_Unnamed Road, Santa Rosa, NM 88435, USA
35.1,-103.6_3301 Q R 58, Tucumcari, NM 88401, USA
35.1,-102.6_2500-2588 FM2587, Hereford, TX 79045, USA
35.1,-101.6_FM1151, Claude, TX 79019, USA
35.1,-100.6_Ranch Rd 2695, McLean, TX 79057, USA
35.1,-99.6_E1320 Rd, Sayre, OK 73662, USA
35.1,-98.6_422 Caddo Ave, Carnegie, OK 73015, USA
35.1,-97.6_Meridian Ave, Cole, OK 73010, USA
35.1,-96.6_13241 N 360 5 Rd, Wewoka, OK 74884, USA
35.1,-95.6_D4162 Rd, Canadian, OK 74425, USA
35.1,-94.6_814 Lonesome Pines, Poteau, OK 74953, USA
35.1,-93.6_Unnamed Road, Havana, AR 72842, USA
35.1,-92.6_1501-1511 Portland Rd, Houston, AR 72070, USA
35.1,-91.6_2388 AR-11, Griffithville, AR 72060, USA
35.1,-90.6_13019-13271 US-70, Widener, AR 72394, USA
35.1,-89.6_4490-4520 Raleigh Lagrange Dr, Piperton, TN 38017, USA
35.1,-88.6_478 Teague Ln, Ramer, TN 38367, USA
35.1,-87.6_7009 Corning Rd, Iron City, TN 38463, USA
35.1,-86.6_98 New George Rd, Fayetteville, TN 37334, USA
35.1,-85.6_221 Lasater Cemetery Rd, Jasper, TN 37347, USA
35.1,-84.6_US-74, Benton, TN 37307, USA
35.1,-83.6_781 Rainbow Springs Rd, Franklin, NC 28734, USA
35.1,-82.6_7492-7510 Geer Hwy, Cleveland, SC 29635, USA
35.1,-81.6_14 Commerce Dr, Gaffney, SC 29340, USA
35.1,-80.6_7418 Indian Trail Fairview Rd, Indian Trail, NC 28079, USA
35.1,-79.6_1459 Derby Rd, Jackson Springs, NC 27281, USA
35.1,-78.6_1588-2398 Welcome School Rd, Autryville, NC 28318, USA
35.1,-77.6_907 Jessie Howard Rd, Deep Run, NC 28525, USA
35.1,-76.6_161 Pittman Creek Rd, Merritt, NC 28556, USA
36.1,-121.6_58801 CA-1, Big Sur, CA 93920, USA
36.1,-120.6_Unnamed Road, Coalinga, CA 93210, USA
36.1,-119.6_25000-25798 7 1/2 Ave, Corcoran, CA 93212, USA
36.1,-118.6_Forest Rte 21S94, Springville, CA 93265, USA
36.1,-117.6_Unnamed Road, California, USA
36.1,-116.6_Furnace Creek Wash Rd, California, USA
36.1,-115.6_Forest Rd 539, Las Vegas, NV 89124, USA
36.1,-114.6_Cohenour Loop Rd, Temple Bar Marina, AZ 86443, USA
36.1,-113.6_Twin Point Rd, Littlefield, AZ 86432, USA
36.1,-112.6_Unnamed Road, Supai, AZ 86435, USA
36.1,-111.6_Indian Rte 6134, Cameron, AZ 86020, USA
36.1,-110.6_Indian Rte 6620, Hotevilla-Bacavi, AZ 86030, USA
36.1,-109.6_Unnamed Road, Chinle, AZ 86503, USA
36.1,-108.6_Unnamed Road, Tohatchi, NM 87325, USA
36.1,-107.6_Unnamed Road, Counselor, NM 87018, USA
36.1,-106.6_Unnamed Road, Youngsville, NM 87064, USA
36.1,-105.6_Llano Largo, Vadito, NM 87579, USA
36.1,-104.6_Unnamed Road, Wagon Mound, NM 87752, USA
36.1,-103.6_Co Rd C022, Clayton, NM 88415, USA
36.1,-102.6_Unnamed Road, Dalhart, TX 79022, USA
36.1,-101.6_Unnamed Road, Gruver, TX 79040, USA
36.1,-100.6_FM281, Perryton, TX 79070, USA
36.1,-99.6_Unnamed Road, Arnett, OK 73832, USA
36.1,-98.6_N2466 Rd, Canton, OK 73724, USA
36.1,-97.6_E0630 Rd, Marshall, OK 73056, USA
36.1,-96.6_54030 W 38th Pl S, Jennings, OK 74038, USA
36.1,-95.6_N4160 Rd, Broken Arrow, OK 74014, USA
36.1,-94.6_N4730 Rd, Watts, OK 74964, USA
36.1,-93.6_482 Madison 2230, Huntsville, AR 72740, USA
36.1,-92.6_386 Marion County 6046, Yellville, AR 72687, USA
36.1,-91.6_120 Ruff Rd, Evening Shade, AR 72532, USA
36.1,-90.6_292-578 Greene Rd 617, Paragould, AR 72450, USA
36.1,-89.6_US-412, Finley, TN 38030, USA
36.1,-88.6_2035 Hinkledale Rd, McKenzie, TN 38201, USA
36.1,-87.6_11842 Hwy 70 E, McEwen, TN 37101, USA
36.1,-86.6_3801-3833 Anderson Rd, Nashville, TN 37217, USA
36.1,-85.6_4385 Roy Luke Rd, Baxter, TN 38544, USA
36.1,-84.6_179 Catoosa Rd, Wartburg, TN 37887, USA
36.1,-83.6_810 Ken Manley Rd, New Market, TN 37820, USA
36.1,-82.6_698 Painter Creek Rd, Chuckey, TN 37641, USA
36.1,-81.6_7050 Richland Rd, Lenoir, NC 28645, USA
36.1,-80.6_Barefoot Trail, Yadkinville, NC 27055, USA
36.1,-79.6_6443 Bethel Church Rd, Gibsonville, NC 27249, USA
36.1,-78.6_1614 Country Ln, Creedmoor, NC 27522, USA
36.1,-77.6_1002 Red Hill Church Rd, Whitakers, NC 27891, USA
36.1,-76.6_1601 Paradise Rd, Edenton, NC 27932, USA
37.1,-121.6_13970 Sycamore Ave, San Martin, CA 95046, USA
37.1,-120.6_12595-13011 Indiana Rd, Dos Palos, CA 93620, USA
37.1,-119.6_Unnamed Road, Friant, CA 93626, USA
37.1,-118.6_Pacific Crest Trail, Shaver Lake, CA 93664, USA
37.1,-117.6_Death Valley Rd, California, USA
37.1,-116.6_Unnamed Road, Beatty, NV 89003, USA
37.1,-115.6_G P Rd, Alamo, NV 89001, USA
37.1,-114.6_Unnamed Road, Caliente, NV 89008, USA
37.1,-113.6_Temple Quarry Trail, St George, UT 84770, USA
37.1,-112.6_Hancock Rd, Kanab, UT 84741, USA
37.1,-111.6_Unnamed Road, Kanab, UT 84741, USA
37.1,-110.6_Unnamed Road, Oljato-Monument Valley, UT 84536, USA
37.1,-109.6_Unnamed Road, Bluff, UT 84512, USA
37.1,-108.6_Tram Rte, Mesa Verde National Park, CO 81330, USA
37.1,-107.6_929 Shellhammer Rd, Ignacio, CO 81137, USA
37.1,-106.6_Continental Divide Trail, Antonito, CO 81120, USA
37.1,-105.6_Rd H, San Luis, CO 81152, USA
37.1,-104.6_County Rd 57.8, Trinidad, CO 81082, USA
37.1,-103.6_Unnamed Road, Branson, CO 81027, USA
37.1,-102.6_Co Rd J, Campo, CO 81029, USA
37.1,-101.6_Co Rd 26, Rolla, KS 67954, USA
37.1,-100.6_26001-26999 Ontario St, Plains, KS 67869, USA
37.1,-99.6_County Rd Y, Ashland, KS 67831, USA
37.1,-98.6_Roundup Rd, Kiowa, KS 67070, USA
37.1,-97.6_Caldwell Rd, Caldwell, KS 67022, USA
37.1,-96.6_Co Rd 6, Cedar Vale, KS 67024, USA
37.1,-95.6_County Rd 5100, Liberty, KS 67351, USA
37.1,-94.6_6692 W Belle Center Rd, Joplin, MO 64801, USA
37.1,-93.6_14327 W Farm Rd 194, Billings, MO 65610, USA
37.1,-92.6_1340 MO-5, Mansfield, MO 65704, USA
37.1,-91.6_County Rd 437-B, Summersville, MO 65571, USA
37.1,-90.6_Co Rd 364, Piedmont, MO 63957, USA
37.1,-89.6_1121 County Hwy 250, Oran, MO 63771, USA
37.1,-88.6_Campbell St, Paducah, KY 42001, USA
37.1,-87.6_2719 Terry Coal Rd, Crofton, KY 42217, USA
37.1,-86.6_190 Manning Rd, Bowling Green, KY 42101, USA
37.1,-85.6_9419-9427 KY-70, Edmonton, KY 42129, USA
37.1,-84.6_107 Vicki Ln, Somerset, KY 42501, USA
37.1,-83.6_Big Double Creek Rd, Big Creek, KY 40914, USA
37.1,-82.6_10501-10509 US-23, Pound, VA 24279, USA
37.1,-81.6_Unnamed Road, Tazewell, VA 24651, USA
37.1,-80.6_7078 Young Rd, Dublin, VA 24084, USA
37.1,-79.6_1200 Parkside Dr, Moneta, VA 24121, USA
37.1,-78.6_301-395 Tall Pines Rd, Charlotte Court House, VA 23923, USA
37.1,-77.6_17000-18018 Bittersweet Rd, Dinwiddie, VA 23841, USA
37.1,-76.6_300 Ft Eustis Blvd, Newport News, VA 23608, USA
38.1,-122.6_571 Wilson Ave, Novato, CA 94947, USA
38.1,-121.6_192-798 W Brannan Island Rd, Isleton, CA 95641, USA
38.1,-120.6_3181 Lumpy Ln, Angels Camp, CA 95222, USA
38.1,-119.6_Pacific Crest Trail, California, USA
38.1,-118.6_NFD 200 Trail, Mina, NV 89422, USA
38.1,-117.6_US-95, Nevada, USA
38.1,-116.6_Unnamed Road, Tonopah, NV 89049, USA
38.1,-115.6_Unnamed Road, Alamo, NV 89001, USA
38.1,-114.6_Unnamed Road, Pioche, NV 89043, USA
38.1,-113.6_Unnamed Road, Modena, UT 84753, USA
38.1,-112.6_Unnamed Road, Paragonah, UT 84760, USA
38.1,-111.6_Forest Rd 285, Boulder, UT 84716, USA
38.1,-110.6_BLM 15210, Utah, USA
38.1,-109.6_UT-211 Scenic, Monticello, UT 84535, USA
38.1,-108.6_1507 County Rd U29 E, Norwood, CO 81423, USA
38.1,-107.6_Co Rd 12, Ridgway, CO 81432, USA
38.1,-106.6_FS Rd 740, Saguache, CO 81149, USA
38.1,-105.6_Hermit Rd, Westcliffe, CO 81252, USA
38.1,-104.6_Unnamed Road, Pueblo, CO 81004, USA
38.1,-103.6_31341 County Rd BB.25, Rocky Ford, CO 81067, USA
38.1,-102.6_Unnamed Road, Lamar, CO 81052, USA
38.1,-101.6_Unnamed Road, Kendall, KS 67857, USA
38.1,-100.6_16117-16337 E Rockpit Rd, Garden City, KS 67846, USA
38.1,-99.6_North Rd, Burdett, KS 67523, USA
38.1,-98.6_Hudson Rd, Stafford, KS 67578, USA
38.1,-97.6_17605 NW 48th St, Burrton, KS 67020, USA
38.1,-96.6_KS-177 Scenic, Cassoday, KS 66842, USA
38.1,-95.6_2040-2098 5th Rd, Le Roy, KS 66857, USA
38.1,-94.6_SW 8508, Hume, MO 64752, USA
38.1,-93.6_969, Lowry City, MO 64763, USA
38.1,-92.6_401-497 McCubbins Dr, Linn Creek, MO 65052, USA
38.1,-91.6_20335 Co Rd 1250, St James, MO 65559, USA
38.1,-90.6_13886 Vineland Rd, De Soto, MO 63020, USA
38.1,-89.6_8215 County Line Rd, Cutler, IL 62238, USA
38.1,-88.6_County Rd 1325 N, McLeansboro, IL 62859, USA
38.1,-87.6_2515 W Boonville - New Harmony Rd, Evansville, IN 47720, USA
38.1,-86.6_17729-18387 Old State Rd 37, Leopold, IN 47551, USA
38.1,-85.6_8900 Independence School Rd, Louisville, KY 40228, USA
38.1,-84.6_4467 Old Frankfort Pike, Lexington, KY 40510, USA
38.1,-83.6_1950 S Hwy 211, Salt Lick, KY 40371, USA
38.1,-82.6_1003-1083 Eloise Church Rd, Louisa, KY 41230, USA
38.1,-81.6_13092 Coal River Rd, Seth, WV 25181, USA
38.1,-80.6_2133 Beech Knob, Leivasy, WV 26676, USA
38.1,-79.6_7964 Indian Draft Rd, Millboro, VA 24460, USA
38.1,-78.6_2202-2388 Decca Ln, Charlottesville, VA 22901, USA
38.1,-77.6_5204-5400 Blaydes Corner Rd, Spotsylvania Courthouse, VA 22551, USA
38.1,-76.6_1787 Peckatone Rd, Kinsale, VA 22488, USA
38.1,-75.6_7970 Hayward Rd, Pocomoke City, MD 21851, USA
39.1,-123.6_Philo Greenwood Rd, Elk, CA 95432, USA
39.1,-122.6_5720 N 5 Rd, Clearlake Oaks, CA 95423, USA
39.1,-121.6_Levee Rd, Yuba City, CA 95991, USA
39.1,-120.6_Unnamed Road, Foresthill, CA 95631, USA
39.1,-119.6_Unnamed Road, Carson City, NV 89701, USA
39.1,-118.6_Unnamed Road, Nevada, USA
39.1,-117.6_Unnamed Road, Austin, NV 89310, USA
39.1,-116.6_NF-025, Nevada, USA
39.1,-115.6_White Pine County Rd 5, Nevada, USA
39.1,-114.6_NF-436, Nevada, USA
39.1,-113.6_US-50, Utah, USA
39.1,-112.6_Clearlake Rd, Delta, UT 84624, USA
39.1,-111.6_Forest Rd 0290, Mayfield, UT 84643, USA
39.1,-110.6_Unnamed Road, Green River, UT 84525, USA
39.1,-109.6_Unnamed Road, Thompson, UT 84540, USA
39.1,-108.6_661 24 1/2 Rd, Grand Junction, CO 81505, USA
39.1,-107.6_Gg65 Dr, Colorado, USA
39.1,-106.6_39183-42641 CO-82, Aspen, CO 81611, USA
39.1,-105.6_894 Gunnison St, Lake George, CO 80827, USA
39.1,-104.6_18520-18598 Meridian Rd, Colorado Springs, CO 80908, USA
39.1,-103.6_25821 Co Rd 2U, Hugo, CO 80821, USA
39.1,-102.6_7000 Co Rd 30, Stratton, CO 80836, USA
39.1,-101.6_Rd Wa-N26, Wallace, KS 67761, USA
39.1,-100.6_Gove CC, Grinnell, KS 67738, USA
39.1,-99.6_Unnamed Road, Ellis, KS 67637, USA
39.1,-98.6_199th St, Lucas, KS 67648, USA
39.1,-97.6_1701-1799 KS-106, Minneapolis, KS 67467, USA
39.1,-96.6_100 Konza Prairie Ln, Manhattan, KS 66502, USA
39.1,-95.6_2201 NE 31st St, Topeka, KS 66617, USA
39.1,-94.6_Mulberry St, Kansas City, MO 64102, USA
39.1,-93.6_26894 Walnut Rd, Corder, MO 64021, USA
39.1,-92.6_341 Co Rd 418, Fayette, MO 65248, USA
39.1,-91.6_2-98 Roppel Rd, Wellsville, MO 63384, USA
39.1,-90.6_County Rd 120 E, Fieldon, IL 62031, USA
39.1,-89.6_5100-5198 County Rd 700 N, Walshville, IL 62091, USA
39.1,-88.6_12596 N 1075th St, Effingham, IL 62401, USA
39.1,-87.6_W Co Rd 100 N, Merom, IN 47861, USA
39.1,-86.6_5099 W Fowler Rd, Bloomington, IN 47403, USA
39.1,-85.6_965 E County Rd 800 N, North Vernon, IN 47265, USA
39.1,-84.6_4553 Fehr Rd, Cincinnati, OH 45238, USA
39.1,-83.6_7761 Oak Ridge Rd, Hillsboro, OH 45133, USA
39.1,-82.6_466 Hard Scrapple Rd, Wellston, OH 45692, USA
39.1,-81.6_Wadesville-Rockport, Rockport, WV 26169, USA
39.1,-80.6_484 Isaacs Fork Rd, Camden, WV 26338, USA
39.1,-79.6_Forest Rd 717, Hambleton, WV 26269, USA
39.1,-78.6_Moores Run, Wardensville, WV 26851, USA
39.1,-77.6_18536 Woodburn Rd, Leesburg, VA 20175, USA
39.1,-76.6_140-142 Downing Dr, Severna Park, MD 21146, USA
39.1,-75.6_119 Brookwood Dr, Camden Wyoming, DE 19934, USA
40.1,-124.6_United States
40.1,-123.6_Jeep Trail, Garberville, CA 95542, USA
40.1,-122.6_17695 Dibble Creek Rd, Red Bluff, CA 96080, USA
40.1,-121.6_Unnamed Road, Chico, CA 95973, USA
