Category,State,Year,Month,Value(cents per KWH),state_year_month
Average retail price of electricity , Alabama ,2013,8,11.6, Alabama 20138
Average retail price of electricity , Alabama ,2013,7,11.56, Alabama 20137
Average retail price of electricity , Alabama ,2013,6,11.65, Alabama 20136
Average retail price of electricity , Alabama ,2013,5,11.42, Alabama 20135
Average retail price of electricity , Alabama ,2013,4,11.39, Alabama 20134
Average retail price of electricity , Alabama ,2013,3,10.96, Alabama 20133
Average retail price of electricity , Alabama ,2013,2,10.91, Alabama 20132
Average retail price of electricity , Alabama ,2013,1,10.81, Alabama 20131
Average retail price of electricity , Alabama ,2012,12,10.96, Alabama 201212
Average retail price of electricity , Alabama ,2012,11,11.04, Alabama 201211
Average retail price of electricity , Alabama ,2012,10,11.71, Alabama 201210
Average retail price of electricity , Alabama ,2012,9,11.76, Alabama 20129
Average retail price of electricity , Alabama ,2012,8,11.71, Alabama 20128
Average retail price of electricity , Alabama ,2012,7,11.58, Alabama 20127
Average retail price of electricity , Alabama ,2012,6,11.56, Alabama 20126
Average retail price of electricity , Alabama ,2012,5,11.14, Alabama 20125
Average retail price of electricity , Alabama ,2012,4,11.56, Alabama 20124
Average retail price of electricity , Alabama ,2012,3,11.48, Alabama 20123
Average retail price of electricity , Alabama ,2012,2,11.21, Alabama 20122
Average retail price of electricity , Alabama ,2012,1,10.91, Alabama 20121
Average retail price of electricity , Alabama ,2011,12,10.87, Alabama 201112
Average retail price of electricity , Alabama ,2011,11,11.15, Alabama 201111
Average retail price of electricity , Alabama ,2011,10,11.73, Alabama 201110
Average retail price of electricity , Alabama ,2011,9,11.56, Alabama 20119
Average retail price of electricity , Alabama ,2011,8,11.41, Alabama 20118
Average retail price of electricity , Alabama ,2011,7,11.34, Alabama 20117
Average retail price of electricity , Alabama ,2011,6,11.29, Alabama 20116
Average retail price of electricity , Alabama ,2011,5,11.25, Alabama 20115
Average retail price of electricity , Alabama ,2011,4,10.87, Alabama 20114
Average retail price of electricity , Alabama ,2011,3,10.92, Alabama 20113
Average retail price of electricity , Alabama ,2011,2,10.56, Alabama 20112
Average retail price of electricity , Alabama ,2011,1,10.28, Alabama 20111
Average retail price of electricity , Alabama ,2010,12,10.34, Alabama 201012
Average retail price of electricity , Alabama ,2010,11,10.89, Alabama 201011
Average retail price of electricity , Alabama ,2010,10,11.44, Alabama 201010
Average retail price of electricity , Alabama ,2010,9,11.1, Alabama 20109
Average retail price of electricity , Alabama ,2010,8,11.18, Alabama 20108
Average retail price of electricity , Alabama ,2010,7,10.79, Alabama 20107
Average retail price of electricity , Alabama ,2010,6,10.81, Alabama 20106
Average retail price of electricity , Alabama ,2010,5,10.99, Alabama 20105
Average retail price of electricity , Alabama ,2010,4,11.19, Alabama 20104
Average retail price of electricity , Alabama ,2010,3,10.25, Alabama 20103
Average retail price of electricity , Alabama ,2010,2,9.77, Alabama 20102
Average retail price of electricity , Alabama ,2010,1,9.82, Alabama 20101
Average retail price of electricity , Alabama ,2009,12,9.82, Alabama 200912
Average retail price of electricity , Alabama ,2009,11,10.2, Alabama 200911
Average retail price of electricity , Alabama ,2009,10,10.4, Alabama 200910
Average retail price of electricity , Alabama ,2009,9,10.85, Alabama 20099
Average retail price of electricity , Alabama ,2009,8,10.91, Alabama 20098
Average retail price of electricity , Alabama ,2009,7,10.81, Alabama 20097
Average retail price of electricity , Alabama ,2009,6,11.24, Alabama 20096
Average retail price of electricity , Alabama ,2009,5,10.59, Alabama 20095
Average retail price of electricity , Alabama ,2009,4,11.09, Alabama 20094
Average retail price of electricity , Alabama ,2009,3,10.61, Alabama 20093
Average retail price of electricity , Alabama ,2009,2,10.64, Alabama 20092
Average retail price of electricity , Alabama ,2009,1,10.57, Alabama 20091
Average retail price of electricity , Alabama ,2008,12,10.19, Alabama 200812
Average retail price of electricity , Alabama ,2008,11,11.01, Alabama 200811
Average retail price of electricity , Alabama ,2008,10,11.57, Alabama 200810
Average retail price of electricity , Alabama ,2008,9,11.07, Alabama 20089
Average retail price of electricity , Alabama ,2008,8,11.06, Alabama 20088
Average retail price of electricity , Alabama ,2008,7,11.08, Alabama 20087
Average retail price of electricity , Alabama ,2008,6,10.96, Alabama 20086
Average retail price of electricity , Alabama ,2008,5,10.01, Alabama 20085
Average retail price of electricity , Alabama ,2008,4,9.89, Alabama 20084
Average retail price of electricity , Alabama ,2008,3,9.3, Alabama 20083
Average retail price of electricity , Alabama ,2008,2,9.16, Alabama 20082
Average retail price of electricity , Alabama ,2008,1,9.2, Alabama 20081
Average retail price of electricity , Alabama ,2007,12,9.03, Alabama 200712
Average retail price of electricity , Alabama ,2007,11,9.41, Alabama 200711
Average retail price of electricity , Alabama ,2007,10,9.44, Alabama 200710
Average retail price of electricity , Alabama ,2007,9,9.33, Alabama 20079
Average retail price of electricity , Alabama ,2007,8,9.94, Alabama 20078
Average retail price of electricity , Alabama ,2007,7,9.46, Alabama 20077
Average retail price of electricity , Alabama ,2007,6,9.66, Alabama 20076
Average retail price of electricity , Alabama ,2007,5,9.39, Alabama 20075
Average retail price of electricity , Alabama ,2007,4,9.58, Alabama 20074
Average retail price of electricity , Alabama ,2007,3,9.06, Alabama 20073
Average retail price of electricity , Alabama ,2007,2,8.73, Alabama 20072
Average retail price of electricity , Alabama ,2007,1,8.62, Alabama 20071
Average retail price of electricity , Alabama ,2006,12,8.09, Alabama 200612
Average retail price of electricity , Alabama ,2006,11,8.45, Alabama 200611
Average retail price of electricity , Alabama ,2006,10,8.64, Alabama 200610
Average retail price of electricity , Alabama ,2006,9,9.13, Alabama 20069
Average retail price of electricity , Alabama ,2006,8,9.56, Alabama 20068
Average retail price of electricity , Alabama ,2006,7,9.18, Alabama 20067
Average retail price of electricity , Alabama ,2006,6,9.35, Alabama 20066
Average retail price of electricity , Alabama ,2006,5,8.69, Alabama 20065
Average retail price of electricity , Alabama ,2006,4,8.96, Alabama 20064
Average retail price of electricity , Alabama ,2006,3,8.27, Alabama 20063
Average retail price of electricity , Alabama ,2006,2,8.14, Alabama 20062
Average retail price of electricity , Alabama ,2006,1,7.73, Alabama 20061
Average retail price of electricity , Alabama ,2005,12,8.03, Alabama 200512
Average retail price of electricity , Alabama ,2005,11,8.61, Alabama 200511
Average retail price of electricity , Alabama ,2005,10,8.14, Alabama 200510
Average retail price of electricity , Alabama ,2005,9,8.47, Alabama 20059
Average retail price of electricity , Alabama ,2005,8,8.18, Alabama 20058
Average retail price of electricity , Alabama ,2005,7,8.25, Alabama 20057
Average retail price of electricity , Alabama ,2005,6,8.31, Alabama 20056
Average retail price of electricity , Alabama ,2005,5,8.19, Alabama 20055
Average retail price of electricity , Alabama ,2005,4,7.87, Alabama 20054
Average retail price of electricity , Alabama ,2005,3,7.58, Alabama 20053
Average retail price of electricity , Alabama ,2005,2,7.23, Alabama 20052
Average retail price of electricity , Alabama ,2005,1,7, Alabama 20051
Average retail price of electricity , Alabama ,2004,12,7.16, Alabama 200412
Average retail price of electricity , Alabama ,2004,11,7.63, Alabama 200411
Average retail price of electricity , Alabama ,2004,10,7.75, Alabama 200410
Average retail price of electricity , Alabama ,2004,9,7.82, Alabama 20049
Average retail price of electricity , Alabama ,2004,8,7.87, Alabama 20048
Average retail price of electricity , Alabama ,2004,7,7.91, Alabama 20047
Average retail price of electricity , Alabama ,2004,6,7.76, Alabama 20046
Average retail price of electricity , Alabama ,2004,5,7.78, Alabama 20045
Average retail price of electricity , Alabama ,2004,4,8.14, Alabama 20044
Average retail price of electricity , Alabama ,2004,3,7.66, Alabama 20043
Average retail price of electricity , Alabama ,2004,2,7.2, Alabama 20042
Average retail price of electricity , Alabama ,2004,1,6.97, Alabama 20041
Average retail price of electricity , Alabama ,2003,12,7.26, Alabama 200312
Average retail price of electricity , Alabama ,2003,11,7.67, Alabama 200311
Average retail price of electricity , Alabama ,2003,10,7.46, Alabama 200310
Average retail price of electricity , Alabama ,2003,9,7.51, Alabama 20039
Average retail price of electricity , Alabama ,2003,8,7.67, Alabama 20038
Average retail price of electricity , Alabama ,2003,7,7.64, Alabama 20037
Average retail price of electricity , Alabama ,2003,6,7.72, Alabama 20036
Average retail price of electricity , Alabama ,2003,5,7.18, Alabama 20035
Average retail price of electricity , Alabama ,2003,4,7.81, Alabama 20034
Average retail price of electricity , Alabama ,2003,3,7.18, Alabama 20033
Average retail price of electricity , Alabama ,2003,2,6.86, Alabama 20032
Average retail price of electricity , Alabama ,2003,1,6.89, Alabama 20031
Average retail price of electricity , Alabama ,2002,12,6.64, Alabama 200212
Average retail price of electricity , Alabama ,2002,11,7.27, Alabama 200211
Average retail price of electricity , Alabama ,2002,10,7.14, Alabama 200210
Average retail price of electricity , Alabama ,2002,9,7.28, Alabama 20029
Average retail price of electricity , Alabama ,2002,8,7.34, Alabama 20028
Average retail price of electricity , Alabama ,2002,7,7.39, Alabama 20027
Average retail price of electricity , Alabama ,2002,6,7.32, Alabama 20026
Average retail price of electricity , Alabama ,2002,5,7.22, Alabama 20025
Average retail price of electricity , Alabama ,2002,4,7.38, Alabama 20024
Average retail price of electricity , Alabama ,2002,3,7.03, Alabama 20023
Average retail price of electricity , Alabama ,2002,2,6.96, Alabama 20022
Average retail price of electricity , Alabama ,2002,1,6.54, Alabama 20021
Average retail price of electricity , Alabama ,2001,12,6.97, Alabama 200112
Average retail price of electricity , Alabama ,2001,11,7.16, Alabama 200111
Average retail price of electricity , Alabama ,2001,10,7.29, Alabama 200110
Average retail price of electricity , Alabama ,2001,9,7.01, Alabama 20019
Average retail price of electricity , Alabama ,2001,8,7.08, Alabama 20018
Average retail price of electricity , Alabama ,2001,7,7.05, Alabama 20017
Average retail price of electricity , Alabama ,2001,6,7.14, Alabama 20016
Average retail price of electricity , Alabama ,2001,5,7.23, Alabama 20015
Average retail price of electricity , Alabama ,2001,4,7.34, Alabama 20014
Average retail price of electricity , Alabama ,2001,3,7.38, Alabama 20013
Average retail price of electricity , Alabama ,2001,2,6.66, Alabama 20012
Average retail price of electricity , Alabama ,2001,1,6.33, Alabama 20011
Average retail price of electricity , Alaska ,2017,7,22.3, Alaska 20177
Average retail price of electricity , Alaska ,2017,6,22.13, Alaska 20176
Average retail price of electricity , Alaska ,2017,5,22.04, Alaska 20175
Average retail price of electricity , Alaska ,2017,4,21.42, Alaska 20174
Average retail price of electricity , Alaska ,2017,3,21.58, Alaska 20173
Average retail price of electricity , Alaska ,2017,2,20.61, Alaska 20172
Average retail price of electricity , Alaska ,2017,1,20.57, Alaska 20171
Average retail price of electricity , Alaska ,2016,12,20.44, Alaska 201612
Average retail price of electricity , Alaska ,2016,11,21.18, Alaska 201611
Average retail price of electricity , Alaska ,2016,10,21.02, Alaska 201610
Average retail price of electricity , Alaska ,2016,9,20.85, Alaska 20169
Average retail price of electricity , Alaska ,2016,8,21.07, Alaska 20168
Average retail price of electricity , Alaska ,2016,7,21.42, Alaska 20167
Average retail price of electricity , Alaska ,2016,6,21.31, Alaska 20166
Average retail price of electricity , Alaska ,2016,5,20.9, Alaska 20165
Average retail price of electricity , Alaska ,2016,4,20.71, Alaska 20164
Average retail price of electricity , Alaska ,2016,3,20.05, Alaska 20163
Average retail price of electricity , Alaska ,2016,2,19.81, Alaska 20162
Average retail price of electricity , Alaska ,2016,1,19.42, Alaska 20161
Average retail price of electricity , Alaska ,2015,12,19.11, Alaska 201512
Average retail price of electricity , Alaska ,2015,11,20.04, Alaska 201511
Average retail price of electricity , Alaska ,2015,10,20.36, Alaska 201510
Average retail price of electricity , Alaska ,2015,9,20.31, Alaska 20159
Average retail price of electricity , Alaska ,2015,8,20.67, Alaska 20158
Average retail price of electricity , Alaska ,2015,7,20.92, Alaska 20157
Average retail price of electricity , Alaska ,2015,6,20.76, Alaska 20156
Average retail price of electricity , Alaska ,2015,5,19.99, Alaska 20155
Average retail price of electricity , Alaska ,2015,4,19.35, Alaska 20154
Average retail price of electricity , Alaska ,2015,3,19.38, Alaska 20153
Average retail price of electricity , Alaska ,2015,2,19.05, Alaska 20152
Average retail price of electricity , Alaska ,2015,1,19.09, Alaska 20151
Average retail price of electricity , Alaska ,2014,12,18.46, Alaska 201412
Average retail price of electricity , Alaska ,2014,11,19.7, Alaska 201411
Average retail price of electricity , Alaska ,2014,10,20.03, Alaska 201410
Average retail price of electricity , Alaska ,2014,9,19.8, Alaska 20149
Average retail price of electricity , Alaska ,2014,8,20.57, Alaska 20148
Average retail price of electricity , Alaska ,2014,7,20.73, Alaska 20147
Average retail price of electricity , Alaska ,2014,6,20.47, Alaska 20146
Average retail price of electricity , Alaska ,2014,5,20.17, Alaska 20145
Average retail price of electricity , Alaska ,2014,4,18.29, Alaska 20144
Average retail price of electricity , Alaska ,2014,3,17.91, Alaska 20143
Average retail price of electricity , Alaska ,2014,2,17.88, Alaska 20142
Average retail price of electricity , Alaska ,2014,1,17.49, Alaska 20141
Average retail price of electricity , Alaska ,2013,12,18.04, Alaska 201312
Average retail price of electricity , Alaska ,2013,11,18.27, Alaska 201311
Average retail price of electricity , Alaska ,2013,10,17.86, Alaska 201310
Average retail price of electricity , Alaska ,2013,9,18.4, Alaska 20139
Average retail price of electricity , Alaska ,2013,8,18.62, Alaska 20138
Average retail price of electricity , Alaska ,2013,7,19.2, Alaska 20137
Average retail price of electricity , Alaska ,2013,6,18.44, Alaska 20136
Average retail price of electricity , Alaska ,2013,5,18.45, Alaska 20135
Average retail price of electricity , Alaska ,2013,4,18.45, Alaska 20134
Average retail price of electricity , Alaska ,2013,3,17.88, Alaska 20133
Average retail price of electricity , Alaska ,2013,2,17.5, Alaska 20132
Average retail price of electricity , Alaska ,2013,1,17.12, Alaska 20131
Average retail price of electricity , Alaska ,2012,12,17.06, Alaska 201212
Average retail price of electricity , Alaska ,2012,11,17.1, Alaska 201211
Average retail price of electricity , Alaska ,2012,10,17.82, Alaska 201210
Average retail price of electricity , Alaska ,2012,9,17.34, Alaska 20129
Average retail price of electricity , Alaska ,2012,8,19.07, Alaska 20128
Average retail price of electricity , Alaska ,2012,7,19.44, Alaska 20127
Average retail price of electricity , Alaska ,2012,6,18.1, Alaska 20126
Average retail price of electricity , Alaska ,2012,5,18.43, Alaska 20125
Average retail price of electricity , Alaska ,2012,4,17.64, Alaska 20124
Average retail price of electricity , Alaska ,2012,3,17.97, Alaska 20123
Average retail price of electricity , Alaska ,2012,2,17.44, Alaska 20122
Average retail price of electricity , Alaska ,2012,1,18.04, Alaska 20121
Average retail price of electricity , Alaska ,2011,12,17.89, Alaska 201112
Average retail price of electricity , Alaska ,2011,11,17.93, Alaska 201111
Average retail price of electricity , Alaska ,2011,10,18.2, Alaska 201110
Average retail price of electricity , Alaska ,2011,9,18.34, Alaska 20119
Average retail price of electricity , Alaska ,2011,8,18.42, Alaska 20118
Average retail price of electricity , Alaska ,2011,7,18.92, Alaska 20117
Average retail price of electricity , Alaska ,2011,6,18.02, Alaska 20116
Average retail price of electricity , Alaska ,2011,5,17.61, Alaska 20115
Average retail price of electricity , Alaska ,2011,4,17.44, Alaska 20114
Average retail price of electricity , Alaska ,2011,3,16.77, Alaska 20113
Average retail price of electricity , Alaska ,2011,2,16.54, Alaska 20112
Average retail price of electricity , Alaska ,2011,1,16.42, Alaska 20111
Average retail price of electricity , Alaska ,2010,12,16.04, Alaska 201012
Average retail price of electricity , Alaska ,2010,11,16.57, Alaska 201011
Average retail price of electricity , Alaska ,2010,10,16.1, Alaska 201010
Average retail price of electricity , Alaska ,2010,9,15.65, Alaska 20109
Average retail price of electricity , Alaska ,2010,8,16.63, Alaska 20108
Average retail price of electricity , Alaska ,2010,7,16.78, Alaska 20107
Average retail price of electricity , Alaska ,2010,6,16.64, Alaska 20106
Average retail price of electricity , Alaska ,2010,5,16.79, Alaska 20105
Average retail price of electricity , Alaska ,2010,4,16.3, Alaska 20104
Average retail price of electricity , Alaska ,2010,3,16.12, Alaska 20103
Average retail price of electricity , Alaska ,2010,2,16.12, Alaska 20102
Average retail price of electricity , Alaska ,2010,1,15.76, Alaska 20101
Average retail price of electricity , Alaska ,2009,12,16.27, Alaska 200912
Average retail price of electricity , Alaska ,2009,11,16.7, Alaska 200911
Average retail price of electricity , Alaska ,2009,10,16.85, Alaska 200910
Average retail price of electricity , Alaska ,2009,9,17.34, Alaska 20099
Average retail price of electricity , Alaska ,2009,8,17.09, Alaska 20098
Average retail price of electricity , Alaska ,2009,7,17.97, Alaska 20097
Average retail price of electricity , Alaska ,2009,6,17.7, Alaska 20096
Average retail price of electricity , Alaska ,2009,5,17.61, Alaska 20095
Average retail price of electricity , Alaska ,2009,4,17.02, Alaska 20094
Average retail price of electricity , Alaska ,2009,3,17.31, Alaska 20093
Average retail price of electricity , Alaska ,2009,2,16.93, Alaska 20092
Average retail price of electricity , Alaska ,2009,1,17.39, Alaska 20091
Average retail price of electricity , Alaska ,2008,12,16.23, Alaska 200812
Average retail price of electricity , Alaska ,2008,11,16.55, Alaska 200811
Average retail price of electricity , Alaska ,2008,10,16.64, Alaska 200810
Average retail price of electricity , Alaska ,2008,9,17.06, Alaska 20089
Average retail price of electricity , Alaska ,2008,8,17.32, Alaska 20088
Average retail price of electricity , Alaska ,2008,7,17.85, Alaska 20087
Average retail price of electricity , Alaska ,2008,6,16.8, Alaska 20086
Average retail price of electricity , Alaska ,2008,5,17.55, Alaska 20085
Average retail price of electricity , Alaska ,2008,4,17.38, Alaska 20084
Average retail price of electricity , Alaska ,2008,3,15.9, Alaska 20083
Average retail price of electricity , Alaska ,2008,2,15.55, Alaska 20082
Average retail price of electricity , Alaska ,2008,1,15.27, Alaska 20081
Average retail price of electricity , Alaska ,2007,12,15.57, Alaska 200712
Average retail price of electricity , Alaska ,2007,11,15.05, Alaska 200711
Average retail price of electricity , Alaska ,2007,10,15.82, Alaska 200710
Average retail price of electricity , Alaska ,2007,9,15.44, Alaska 20079
Average retail price of electricity , Alaska ,2007,8,15.84, Alaska 20078
Average retail price of electricity , Alaska ,2007,7,15.86, Alaska 20077
Average retail price of electricity , Alaska ,2007,6,15.35, Alaska 20076
Average retail price of electricity , Alaska ,2007,5,15.02, Alaska 20075
Average retail price of electricity , Alaska ,2007,4,14.6, Alaska 20074
Average retail price of electricity , Alaska ,2007,3,14.99, Alaska 20073
Average retail price of electricity , Alaska ,2007,2,14.58, Alaska 20072
Average retail price of electricity , Alaska ,2007,1,14.6, Alaska 20071
Average retail price of electricity , Alaska ,2006,12,15.05, Alaska 200612
Average retail price of electricity , Alaska ,2006,11,15.02, Alaska 200611
Average retail price of electricity , Alaska ,2006,10,14.92, Alaska 200610
Average retail price of electricity , Alaska ,2006,9,15.31, Alaska 20069
Average retail price of electricity , Alaska ,2006,8,16.05, Alaska 20068
Average retail price of electricity , Alaska ,2006,7,15.94, Alaska 20067
Average retail price of electricity , Alaska ,2006,6,15.47, Alaska 20066
Average retail price of electricity , Alaska ,2006,5,15.3, Alaska 20065
Average retail price of electricity , Alaska ,2006,4,14.38, Alaska 20064
Average retail price of electricity , Alaska ,2006,3,14.41, Alaska 20063
Average retail price of electricity , Alaska ,2006,2,13.64, Alaska 20062
Average retail price of electricity , Alaska ,2006,1,13.61, Alaska 20061
Average retail price of electricity , Alaska ,2005,12,14.08, Alaska 200512
Average retail price of electricity , Alaska ,2005,11,13.74, Alaska 200511
Average retail price of electricity , Alaska ,2005,10,13.74, Alaska 200510
Average retail price of electricity , Alaska ,2005,9,13.08, Alaska 20059
Average retail price of electricity , Alaska ,2005,8,14.06, Alaska 20058
Average retail price of electricity , Alaska ,2005,7,13.62, Alaska 20057
Average retail price of electricity , Alaska ,2005,6,13.46, Alaska 20056
Average retail price of electricity , Alaska ,2005,5,13.83, Alaska 20055
Average retail price of electricity , Alaska ,2005,4,12.9, Alaska 20054
Average retail price of electricity , Alaska ,2005,3,12.75, Alaska 20053
Average retail price of electricity , Alaska ,2005,2,12.56, Alaska 20052
Average retail price of electricity , Alaska ,2005,1,12.29, Alaska 20051
Average retail price of electricity , Alaska ,2004,12,12.65, Alaska 200412
Average retail price of electricity , Alaska ,2004,11,12.71, Alaska 200411
Average retail price of electricity , Alaska ,2004,10,12.73, Alaska 200410
Average retail price of electricity , Alaska ,2004,9,12.84, Alaska 20049
Average retail price of electricity , Alaska ,2004,8,12.6, Alaska 20048
Average retail price of electricity , Alaska ,2004,7,12.79, Alaska 20047
Average retail price of electricity , Alaska ,2004,6,12.95, Alaska 20046
Average retail price of electricity , Alaska ,2004,5,12.88, Alaska 20045
Average retail price of electricity , Alaska ,2004,4,12.21, Alaska 20044
Average retail price of electricity , Alaska ,2004,3,12.16, Alaska 20043
Average retail price of electricity , Alaska ,2004,2,11.83, Alaska 20042
Average retail price of electricity , Alaska ,2004,1,11.59, Alaska 20041
Average retail price of electricity , Alaska ,2003,12,12.03, Alaska 200312
Average retail price of electricity , Alaska ,2003,11,12.22, Alaska 200311
Average retail price of electricity , Alaska ,2003,10,12.34, Alaska 200310
Average retail price of electricity , Alaska ,2003,9,12.21, Alaska 20039
Average retail price of electricity , Alaska ,2003,8,12.28, Alaska 20038
Average retail price of electricity , Alaska ,2003,7,12.64, Alaska 20037
Average retail price of electricity , Alaska ,2003,6,12.13, Alaska 20036
Average retail price of electricity , Alaska ,2003,5,11.83, Alaska 20035
Average retail price of electricity , Alaska ,2003,4,11.76, Alaska 20034
Average retail price of electricity , Alaska ,2003,3,11.65, Alaska 20033
Average retail price of electricity , Alaska ,2003,2,11.68, Alaska 20032
Average retail price of electricity , Alaska ,2003,1,11.4, Alaska 20031
Average retail price of electricity , Alaska ,2002,12,11.57, Alaska 200212
Average retail price of electricity , Alaska ,2002,11,11.86, Alaska 200211
Average retail price of electricity , Alaska ,2002,10,12.01, Alaska 200210
Average retail price of electricity , Alaska ,2002,9,12.16, Alaska 20029
Average retail price of electricity , Alaska ,2002,8,12.4, Alaska 20028
Average retail price of electricity , Alaska ,2002,7,12.5, Alaska 20027
Average retail price of electricity , Alaska ,2002,6,12.57, Alaska 20026
Average retail price of electricity , Alaska ,2002,5,12.51, Alaska 20025
Average retail price of electricity , Alaska ,2002,4,12.22, Alaska 20024
Average retail price of electricity , Alaska ,2002,3,12.23, Alaska 20023
Average retail price of electricity , Alaska ,2002,2,11.59, Alaska 20022
Average retail price of electricity , Alaska ,2002,1,11.55, Alaska 20021
Average retail price of electricity , Alaska ,2001,12,12.05, Alaska 200112
Average retail price of electricity , Alaska ,2001,11,12.38, Alaska 200111
Average retail price of electricity , Alaska ,2001,10,12.93, Alaska 200110
Average retail price of electricity , Alaska ,2001,9,12.2, Alaska 20019
Average retail price of electricity , Alaska ,2001,8,12.79, Alaska 20018
Average retail price of electricity , Alaska ,2001,7,12.42, Alaska 20017
Average retail price of electricity , Alaska ,2001,6,12.31, Alaska 20016
Average retail price of electricity , Alaska ,2001,5,12.13, Alaska 20015
Average retail price of electricity , Alaska ,2001,4,11.98, Alaska 20014
Average retail price of electricity , Alaska ,2001,3,12.21, Alaska 20013
Average retail price of electricity , Alaska ,2001,2,11.39, Alaska 20012
Average retail price of electricity , Alaska ,2001,1,11.22, Alaska 20011
Average retail price of electricity , Arizona ,2017,7,12.74, Arizona 20177
Average retail price of electricity , Arizona ,2017,6,12.65, Arizona 20176
Average retail price of electricity , Arizona ,2017,5,13.04, Arizona 20175
Average retail price of electricity , Arizona ,2017,4,12.49, Arizona 20174
Average retail price of electricity , Arizona ,2017,3,11.73, Arizona 20173
Average retail price of electricity , Arizona ,2017,2,11.66, Arizona 20172
Average retail price of electricity , Arizona ,2017,1,11.31, Arizona 20171
Average retail price of electricity , Arizona ,2016,12,11.3, Arizona 201612
Average retail price of electricity , Arizona ,2016,11,11.66, Arizona 201611
Average retail price of electricity , Arizona ,2016,10,12.16, Arizona 201610
Average retail price of electricity , Arizona ,2016,9,12.77, Arizona 20169
Average retail price of electricity , Arizona ,2016,8,12.56, Arizona 20168
Average retail price of electricity , Arizona ,2016,7,12.7, Arizona 20167
Average retail price of electricity , Arizona ,2016,6,12.54, Arizona 20166
Average retail price of electricity , Arizona ,2016,5,12.94, Arizona 20165
Average retail price of electricity , Arizona ,2016,4,12.36, Arizona 20164
Average retail price of electricity , Arizona ,2016,3,11.75, Arizona 20163
Average retail price of electricity , Arizona ,2016,2,11.46, Arizona 20162
Average retail price of electricity , Arizona ,2016,1,10.9, Arizona 20161
Average retail price of electricity , Arizona ,2015,12,10.7, Arizona 201512
Average retail price of electricity , Arizona ,2015,11,11.24, Arizona 201511
Average retail price of electricity , Arizona ,2015,10,12.16, Arizona 201510
Average retail price of electricity , Arizona ,2015,9,12.69, Arizona 20159
Average retail price of electricity , Arizona ,2015,8,12.59, Arizona 20158
