Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , coal , Alabama ,2011,5,2448.616, Alabama 20115
Total consumption , coal , Alabama ,2011,4,1812.232, Alabama 20114
Total consumption , coal , Alabama ,2011,3,2311.872, Alabama 20113
Total consumption , coal , Alabama ,2011,2,2217.339, Alabama 20112
Total consumption , coal , Alabama ,2011,1,2753.834, Alabama 20111
Total consumption , coal , Alabama ,2010,12,2503.213, Alabama 201012
Total consumption , coal , Alabama ,2010,11,2119.949, Alabama 201011
Total consumption , coal , Alabama ,2010,10,2057.352, Alabama 201010
Total consumption , coal , Alabama ,2010,9,2513.837, Alabama 20109
Total consumption , coal , Alabama ,2010,8,2978.856, Alabama 20108
Total consumption , coal , Alabama ,2010,7,2982.82, Alabama 20107
Total consumption , coal , Alabama ,2010,6,3020.933, Alabama 20106
Total consumption , coal , Alabama ,2010,5,2847.517, Alabama 20105
Total consumption , coal , Alabama ,2010,4,2284.8, Alabama 20104
Total consumption , coal , Alabama ,2010,3,2440.209, Alabama 20103
Total consumption , coal , Alabama ,2010,2,2473.038, Alabama 20102
Total consumption , coal , Alabama ,2010,1,2762.407, Alabama 20101
Total consumption , coal , Alabama ,2009,12,2158.642, Alabama 200912
Total consumption , coal , Alabama ,2009,11,1960.584, Alabama 200911
Total consumption , coal , Alabama ,2009,10,2174.809, Alabama 200910
Total consumption , coal , Alabama ,2009,9,2386.087, Alabama 20099
Total consumption , coal , Alabama ,2009,8,2638.552, Alabama 20098
Total consumption , coal , Alabama ,2009,7,2495.703, Alabama 20097
Total consumption , coal , Alabama ,2009,6,2319.597, Alabama 20096
Total consumption , coal , Alabama ,2009,5,2240.981, Alabama 20095
Total consumption , coal , Alabama ,2009,4,1819.019, Alabama 20094
Total consumption , coal , Alabama ,2009,3,2164.111, Alabama 20093
Total consumption , coal , Alabama ,2009,2,2397.742, Alabama 20092
Total consumption , coal , Alabama ,2009,1,2827.669, Alabama 20091
Total consumption , coal , Alabama ,2008,12,2841.218, Alabama 200812
Total consumption , coal , Alabama ,2008,11,2697.402, Alabama 200811
Total consumption , coal , Alabama ,2008,10,2720.05, Alabama 200810
Total consumption , coal , Alabama ,2008,9,3022.777, Alabama 20089
Total consumption , coal , Alabama ,2008,8,3196.036, Alabama 20088
Total consumption , coal , Alabama ,2008,7,3419.853, Alabama 20087
Total consumption , coal , Alabama ,2008,6,3244.687, Alabama 20086
Total consumption , coal , Alabama ,2008,5,3235.102, Alabama 20085
Total consumption , coal , Alabama ,2008,4,2931.443, Alabama 20084
Total consumption , coal , Alabama ,2008,3,2945.134, Alabama 20083
Total consumption , coal , Alabama ,2008,2,2646.404, Alabama 20082
Total consumption , coal , Alabama ,2008,1,2945.165, Alabama 20081
Total consumption , coal , Alabama ,2007,12,2921.624, Alabama 200712
Total consumption , coal , Alabama ,2007,11,2777.512, Alabama 200711
Total consumption , coal , Alabama ,2007,10,2853.629, Alabama 200710
Total consumption , coal , Alabama ,2007,9,3169.67, Alabama 20079
Total consumption , coal , Alabama ,2007,8,3437.257, Alabama 20078
Total consumption , coal , Alabama ,2007,7,3540.999, Alabama 20077
Total consumption , coal , Alabama ,2007,6,3410.98, Alabama 20076
Total consumption , coal , Alabama ,2007,5,3377.259, Alabama 20075
Total consumption , coal , Alabama ,2007,4,2964.347, Alabama 20074
Total consumption , coal , Alabama ,2007,3,2988.445, Alabama 20073
Total consumption , coal , Alabama ,2007,2,2808.341, Alabama 20072
Total consumption , coal , Alabama ,2007,1,2982.912, Alabama 20071
Total consumption , coal , Alabama ,2006,12,3360.54224, Alabama 200612
Total consumption , coal , Alabama ,2006,11,3113.57157, Alabama 200611
Total consumption , coal , Alabama ,2006,10,3080.46671, Alabama 200610
Total consumption , coal , Alabama ,2006,9,3241.3066, Alabama 20069
Total consumption , coal , Alabama ,2006,8,3516.50678, Alabama 20068
Total consumption , coal , Alabama ,2006,7,3353.33674, Alabama 20067
Total consumption , coal , Alabama ,2006,6,3300.04641, Alabama 20066
Total consumption , coal , Alabama ,2006,5,3175.67447, Alabama 20065
Total consumption , coal , Alabama ,2006,4,2755.95354, Alabama 20064
Total consumption , coal , Alabama ,2006,3,2779.95888, Alabama 20063
Total consumption , coal , Alabama ,2006,2,2680.25872, Alabama 20062
Total consumption , coal , Alabama ,2006,1,2809.88934, Alabama 20061
Total consumption , coal , Alabama ,2005,12,3254.01967, Alabama 200512
Total consumption , coal , Alabama ,2005,11,2979.82416, Alabama 200511
Total consumption , coal , Alabama ,2005,10,3113.57205, Alabama 200510
Total consumption , coal , Alabama ,2005,9,3338.27311, Alabama 20059
Total consumption , coal , Alabama ,2005,8,3465.08894, Alabama 20058
Total consumption , coal , Alabama ,2005,7,3311.55301, Alabama 20057
Total consumption , coal , Alabama ,2005,6,3202.70153, Alabama 20056
Total consumption , coal , Alabama ,2005,5,2873.73985, Alabama 20055
Total consumption , coal , Alabama ,2005,4,2555.34795, Alabama 20054
Total consumption , coal , Alabama ,2005,3,2973.5866, Alabama 20053
Total consumption , coal , Alabama ,2005,2,2693.13031, Alabama 20052
Total consumption , coal , Alabama ,2005,1,3236.02884, Alabama 20051
Total consumption , coal , Alabama ,2004,12,3048.15745, Alabama 200412
Total consumption , coal , Alabama ,2004,11,2884.05201, Alabama 200411
Total consumption , coal , Alabama ,2004,10,3119.05591, Alabama 200410
Total consumption , coal , Alabama ,2004,9,2895.93114, Alabama 20049
Total consumption , coal , Alabama ,2004,8,3375.39266, Alabama 20048
Total consumption , coal , Alabama ,2004,7,3515.1243, Alabama 20047
Total consumption , coal , Alabama ,2004,6,3287.69928, Alabama 20046
Total consumption , coal , Alabama ,2004,5,3092.38526, Alabama 20045
Total consumption , coal , Alabama ,2004,4,2222.97398, Alabama 20044
Total consumption , coal , Alabama ,2004,3,2483.02587, Alabama 20043
Total consumption , coal , Alabama ,2004,2,2424.67925, Alabama 20042
Total consumption , coal , Alabama ,2004,1,2735.01988, Alabama 20041
Total consumption , coal , Alabama ,2003,12,2883.582, Alabama 200312
Total consumption , coal , Alabama ,2003,11,2846.468, Alabama 200311
Total consumption , coal , Alabama ,2003,10,2942.325, Alabama 200310
Total consumption , coal , Alabama ,2003,9,3236.202, Alabama 20039
Total consumption , coal , Alabama ,2003,8,3491.835, Alabama 20038
Total consumption , coal , Alabama ,2003,7,3430.792, Alabama 20037
Total consumption , coal , Alabama ,2003,6,3268.339, Alabama 20036
Total consumption , coal , Alabama ,2003,5,2907.806, Alabama 20035
Total consumption , coal , Alabama ,2003,4,2395.379, Alabama 20034
Total consumption , coal , Alabama ,2003,3,2573.376, Alabama 20033
Total consumption , coal , Alabama ,2003,2,2671.86, Alabama 20032
Total consumption , coal , Alabama ,2003,1,2952.304, Alabama 20031
Total consumption , coal , Alabama ,2002,12,2868.494, Alabama 200212
Total consumption , coal , Alabama ,2002,11,2914.148, Alabama 200211
Total consumption , coal , Alabama ,2002,10,3099.123, Alabama 200210
Total consumption , coal , Alabama ,2002,9,3150.519, Alabama 20029
Total consumption , coal , Alabama ,2002,8,3357.246, Alabama 20028
Total consumption , coal , Alabama ,2002,7,3441.942, Alabama 20027
Total consumption , coal , Alabama ,2002,6,3103.459, Alabama 20026
Total consumption , coal , Alabama ,2002,5,2552.878, Alabama 20025
Total consumption , coal , Alabama ,2002,4,2273.86, Alabama 20024
Total consumption , coal , Alabama ,2002,3,2107.462, Alabama 20023
Total consumption , coal , Alabama ,2002,2,2157.94, Alabama 20022
Total consumption , coal , Alabama ,2002,1,2517.829, Alabama 20021
Total consumption , coal , Alabama ,2001,12,2485.395, Alabama 200112
Total consumption , coal , Alabama ,2001,11,2529.759, Alabama 200111
Total consumption , coal , Alabama ,2001,10,2782.462, Alabama 200110
Total consumption , coal , Alabama ,2001,9,2944.049, Alabama 20019
Total consumption , coal , Alabama ,2001,8,3422.881, Alabama 20018
Total consumption , coal , Alabama ,2001,7,3357.736, Alabama 20017
Total consumption , coal , Alabama ,2001,6,2975.446, Alabama 20016
Total consumption , coal , Alabama ,2001,5,2788.968, Alabama 20015
Total consumption , coal , Alabama ,2001,4,2176.712, Alabama 20014
Total consumption , coal , Alabama ,2001,3,2667.593, Alabama 20013
Total consumption , coal , Alabama ,2001,2,2667.774, Alabama 20012
Total consumption , coal , Alabama ,2001,1,3001.791, Alabama 20011
Total consumption , coal , Alaska ,2017,7,53.42, Alaska 20177
Total consumption , coal , Alaska ,2017,6,null, Alaska 20176
Total consumption , coal , Alaska ,2017,5,null, Alaska 20175
Total consumption , coal , Alaska ,2017,4,null, Alaska 20174
Total consumption , coal , Alaska ,2017,3,null, Alaska 20173
Total consumption , coal , Alaska ,2017,2,47.735, Alaska 20172
Total consumption , coal , Alaska ,2017,1,55.846, Alaska 20171
Total consumption , coal , Alaska ,2016,12,53.166, Alaska 201612
Total consumption , coal , Alaska ,2016,11,45.383, Alaska 201611
Total consumption , coal , Alaska ,2016,10,43.6, Alaska 201610
Total consumption , coal , Alaska ,2016,9,41.426, Alaska 20169
Total consumption , coal , Alaska ,2016,8,44.826, Alaska 20168
Total consumption , coal , Alaska ,2016,7,40.281, Alaska 20167
Total consumption , coal , Alaska ,2016,6,41.439, Alaska 20166
Total consumption , coal , Alaska ,2016,5,41.432, Alaska 20165
Total consumption , coal , Alaska ,2016,4,null, Alaska 20164
Total consumption , coal , Alaska ,2016,3,60.268, Alaska 20163
Total consumption , coal , Alaska ,2016,2,76.942, Alaska 20162
Total consumption , coal , Alaska ,2016,1,70.56, Alaska 20161
Total consumption , coal , Alaska ,2015,12,87.062, Alaska 201512
Total consumption , coal , Alaska ,2015,11,70.474, Alaska 201511
Total consumption , coal , Alaska ,2015,10,71.659, Alaska 201510
Total consumption , coal , Alaska ,2015,9,63.985, Alaska 20159
Total consumption , coal , Alaska ,2015,8,54.185, Alaska 20158
Total consumption , coal , Alaska ,2015,7,54.711, Alaska 20157
Total consumption , coal , Alaska ,2015,6,52.499, Alaska 20156
Total consumption , coal , Alaska ,2015,5,54.964, Alaska 20155
Total consumption , coal , Alaska ,2015,4,37.525, Alaska 20154
Total consumption , coal , Alaska ,2015,3,57.715, Alaska 20153
Total consumption , coal , Alaska ,2015,2,58.944, Alaska 20152
Total consumption , coal , Alaska ,2015,1,67.269, Alaska 20151
Total consumption , coal , Alaska ,2014,12,64.437, Alaska 201412
Total consumption , coal , Alaska ,2014,11,59.103, Alaska 201411
Total consumption , coal , Alaska ,2014,10,50.139, Alaska 201410
Total consumption , coal , Alaska ,2014,9,46.544, Alaska 20149
Total consumption , coal , Alaska ,2014,8,42.496, Alaska 20148
Total consumption , coal , Alaska ,2014,7,44.032, Alaska 20147
Total consumption , coal , Alaska ,2014,6,46.371, Alaska 20146
Total consumption , coal , Alaska ,2014,5,52.192, Alaska 20145
Total consumption , coal , Alaska ,2014,4,58.542, Alaska 20144
Total consumption , coal , Alaska ,2014,3,62.738, Alaska 20143
Total consumption , coal , Alaska ,2014,2,62.273, Alaska 20142
Total consumption , coal , Alaska ,2014,1,65.873, Alaska 20141
Total consumption , coal , Alaska ,2013,12,35.724, Alaska 201312
Total consumption , coal , Alaska ,2013,11,36.091, Alaska 201311
Total consumption , coal , Alaska ,2013,10,35.314, Alaska 201310
Total consumption , coal , Alaska ,2013,9,35.382, Alaska 20139
Total consumption , coal , Alaska ,2013,8,34.869, Alaska 20138
Total consumption , coal , Alaska ,2013,7,36.323, Alaska 20137
Total consumption , coal , Alaska ,2013,6,36.207, Alaska 20136
Total consumption , coal , Alaska ,2013,5,21.157, Alaska 20135
Total consumption , coal , Alaska ,2013,4,20.438, Alaska 20134
Total consumption , coal , Alaska ,2013,3,36.434, Alaska 20133
Total consumption , coal , Alaska ,2013,2,35.29, Alaska 20132
Total consumption , coal , Alaska ,2013,1,36.397, Alaska 20131
Total consumption , coal , Alaska ,2012,12,39.037, Alaska 201212
Total consumption , coal , Alaska ,2012,11,37.432, Alaska 201211
Total consumption , coal , Alaska ,2012,10,32.287, Alaska 201210
Total consumption , coal , Alaska ,2012,9,36.834, Alaska 20129
Total consumption , coal , Alaska ,2012,8,36.421, Alaska 20128
Total consumption , coal , Alaska ,2012,7,36.721, Alaska 20127
Total consumption , coal , Alaska ,2012,6,35.264, Alaska 20126
Total consumption , coal , Alaska ,2012,5,30.814, Alaska 20125
Total consumption , coal , Alaska ,2012,4,33.9, Alaska 20124
Total consumption , coal , Alaska ,2012,3,35.603, Alaska 20123
Total consumption , coal , Alaska ,2012,2,35.623, Alaska 20122
Total consumption , coal , Alaska ,2012,1,37.291, Alaska 20121
Total consumption , coal , Alaska ,2011,12,39.323, Alaska 201112
Total consumption , coal , Alaska ,2011,11,38.536, Alaska 201111
Total consumption , coal , Alaska ,2011,10,24.478, Alaska 201110
Total consumption , coal , Alaska ,2011,9,34.185, Alaska 20119
Total consumption , coal , Alaska ,2011,8,40.493, Alaska 20118
Total consumption , coal , Alaska ,2011,7,39.99, Alaska 20117
Total consumption , coal , Alaska ,2011,6,31.025, Alaska 20116
Total consumption , coal , Alaska ,2011,5,27.875, Alaska 20115
Total consumption , coal , Alaska ,2011,4,32.582, Alaska 20114
Total consumption , coal , Alaska ,2011,3,32.595, Alaska 20113
Total consumption , coal , Alaska ,2011,2,34.204, Alaska 20112
Total consumption , coal , Alaska ,2011,1,34.079, Alaska 20111
Total consumption , coal , Alaska ,2010,12,37.739, Alaska 201012
Total consumption , coal , Alaska ,2010,11,39.47, Alaska 201011
Total consumption , coal , Alaska ,2010,10,36.997, Alaska 201010
Total consumption , coal , Alaska ,2010,9,34.693, Alaska 20109
Total consumption , coal , Alaska ,2010,8,30.141, Alaska 20108
Total consumption , coal , Alaska ,2010,7,36.278, Alaska 20107
Total consumption , coal , Alaska ,2010,6,35.707, Alaska 20106
Total consumption , coal , Alaska ,2010,5,21.376, Alaska 20105
Total consumption , coal , Alaska ,2010,4,21.867, Alaska 20104
Total consumption , coal , Alaska ,2010,3,41.256, Alaska 20103
Total consumption , coal , Alaska ,2010,2,37.553, Alaska 20102
Total consumption , coal , Alaska ,2010,1,36.751, Alaska 20101
Total consumption , coal , Alaska ,2009,12,39.528, Alaska 200912
Total consumption , coal , Alaska ,2009,11,37.489, Alaska 200911
Total consumption , coal , Alaska ,2009,10,39.198, Alaska 200910
Total consumption , coal , Alaska ,2009,9,36.433, Alaska 20099
Total consumption , coal , Alaska ,2009,8,36.476, Alaska 20098
Total consumption , coal , Alaska ,2009,7,36.892, Alaska 20097
Total consumption , coal , Alaska ,2009,6,34.559, Alaska 20096
Total consumption , coal , Alaska ,2009,5,37.882, Alaska 20095
Total consumption , coal , Alaska ,2009,4,26.186, Alaska 20094
Total consumption , coal , Alaska ,2009,3,37.594, Alaska 20093
Total consumption , coal , Alaska ,2009,2,37.171, Alaska 20092
Total consumption , coal , Alaska ,2009,1,37.141, Alaska 20091
Total consumption , coal , Alaska ,2008,12,36.81, Alaska 200812
Total consumption , coal , Alaska ,2008,11,35.756, Alaska 200811
Total consumption , coal , Alaska ,2008,10,36.463, Alaska 200810
Total consumption , coal , Alaska ,2008,9,35.54, Alaska 20089
Total consumption , coal , Alaska ,2008,8,36.523, Alaska 20088
Total consumption , coal , Alaska ,2008,7,36.025, Alaska 20087
Total consumption , coal , Alaska ,2008,6,34.229, Alaska 20086
Total consumption , coal , Alaska ,2008,5,35.998, Alaska 20085
Total consumption , coal , Alaska ,2008,4,33.642, Alaska 20084
Total consumption , coal , Alaska ,2008,3,35.991, Alaska 20083
Total consumption , coal , Alaska ,2008,2,34.764, Alaska 20082
Total consumption , coal , Alaska ,2008,1,35.487, Alaska 20081
Total consumption , coal , Alaska ,2007,12,39.535, Alaska 200712
Total consumption , coal , Alaska ,2007,11,38.368, Alaska 200711
Total consumption , coal , Alaska ,2007,10,30.639, Alaska 200710
Total consumption , coal , Alaska ,2007,9,35.238, Alaska 20079
Total consumption , coal , Alaska ,2007,8,31.592, Alaska 20078
Total consumption , coal , Alaska ,2007,7,29.296, Alaska 20077
Total consumption , coal , Alaska ,2007,6,23.559, Alaska 20076
Total consumption , coal , Alaska ,2007,5,38.836, Alaska 20075
Total consumption , coal , Alaska ,2007,4,36.379, Alaska 20074
Total consumption , coal , Alaska ,2007,3,39.523, Alaska 20073
Total consumption , coal , Alaska ,2007,2,34.015, Alaska 20072
Total consumption , coal , Alaska ,2007,1,37.164, Alaska 20071
Total consumption , coal , Alaska ,2006,12,35.69058, Alaska 200612
Total consumption , coal , Alaska ,2006,11,32.274, Alaska 200611
Total consumption , coal , Alaska ,2006,10,34.63632, Alaska 200610
Total consumption , coal , Alaska ,2006,9,33.6556, Alaska 20069
Total consumption , coal , Alaska ,2006,8,35.7684, Alaska 20068
Total consumption , coal , Alaska ,2006,7,36.05955, Alaska 20067
Total consumption , coal , Alaska ,2006,6,26.48495, Alaska 20066
Total consumption , coal , Alaska ,2006,5,33.17042, Alaska 20065
Total consumption , coal , Alaska ,2006,4,34.01274, Alaska 20064
Total consumption , coal , Alaska ,2006,3,34.50104, Alaska 20063
Total consumption , coal , Alaska ,2006,2,34.1163, Alaska 20062
Total consumption , coal , Alaska ,2006,1,37.63411, Alaska 20061
Total consumption , coal , Alaska ,2005,12,34.86521, Alaska 200512
Total consumption , coal , Alaska ,2005,11,32.9628, Alaska 200511
Total consumption , coal , Alaska ,2005,10,33.74947, Alaska 200510
Total consumption , coal , Alaska ,2005,9,32.79148, Alaska 20059
Total consumption , coal , Alaska ,2005,8,35.25973, Alaska 20058
Total consumption , coal , Alaska ,2005,7,36.29589, Alaska 20057
Total consumption , coal , Alaska ,2005,6,30.02306, Alaska 20056
Total consumption , coal , Alaska ,2005,5,31.11567, Alaska 20055
Total consumption , coal , Alaska ,2005,4,30.95582, Alaska 20054
Total consumption , coal , Alaska ,2005,3,34.19064, Alaska 20053
Total consumption , coal , Alaska ,2005,2,31.45093, Alaska 20052
Total consumption , coal , Alaska ,2005,1,34.75231, Alaska 20051
Total consumption , coal , Alaska ,2004,12,34.15522, Alaska 200412
Total consumption , coal , Alaska ,2004,11,34.46434, Alaska 200411
Total consumption , coal , Alaska ,2004,10,34.40658, Alaska 200410
Total consumption , coal , Alaska ,2004,9,32.74872, Alaska 20049
Total consumption , coal , Alaska ,2004,8,34.60315, Alaska 20048
Total consumption , coal , Alaska ,2004,7,26.31925, Alaska 20047
Total consumption , coal , Alaska ,2004,6,32.45992, Alaska 20046
Total consumption , coal , Alaska ,2004,5,32.97795, Alaska 20045
Total consumption , coal , Alaska ,2004,4,32.57696, Alaska 20044
Total consumption , coal , Alaska ,2004,3,33.13088, Alaska 20043
Total consumption , coal , Alaska ,2004,2,32.05721, Alaska 20042
Total consumption , coal , Alaska ,2004,1,33.12881, Alaska 20041
Total consumption , coal , Alaska ,2003,12,37.274, Alaska 200312
Total consumption , coal , Alaska ,2003,11,33.111, Alaska 200311
Total consumption , coal , Alaska ,2003,10,33.457, Alaska 200310
Total consumption , coal , Alaska ,2003,9,30.571, Alaska 20039
Total consumption , coal , Alaska ,2003,8,16.005, Alaska 20038
Total consumption , coal , Alaska ,2003,7,13.855, Alaska 20037
Total consumption , coal , Alaska ,2003,6,21.152, Alaska 20036
Total consumption , coal , Alaska ,2003,5,31.325, Alaska 20035
Total consumption , coal , Alaska ,2003,4,26.374, Alaska 20034
Total consumption , coal , Alaska ,2003,3,33.217, Alaska 20033
Total consumption , coal , Alaska ,2003,2,30.869, Alaska 20032
Total consumption , coal , Alaska ,2003,1,34.336, Alaska 20031
Total consumption , coal , Alaska ,2002,12,53.455, Alaska 200212
Total consumption , coal , Alaska ,2002,11,48.642, Alaska 200211
Total consumption , coal , Alaska ,2002,10,53.079, Alaska 200210
Total consumption , coal , Alaska ,2002,9,51.444, Alaska 20029
Total consumption , coal , Alaska ,2002,8,45.505, Alaska 20028
Total consumption , coal , Alaska ,2002,7,43.614, Alaska 20027
Total consumption , coal , Alaska ,2002,6,34.867, Alaska 20026
Total consumption , coal , Alaska ,2002,5,47.963, Alaska 20025
Total consumption , coal , Alaska ,2002,4,42.124, Alaska 20024
Total consumption , coal , Alaska ,2002,3,48.094, Alaska 20023
Total consumption , coal , Alaska ,2002,2,43.177, Alaska 20022
Total consumption , coal , Alaska ,2002,1,50.057, Alaska 20021
Total consumption , coal , Alaska ,2001,12,36.282, Alaska 200112
Total consumption , coal , Alaska ,2001,11,34.531, Alaska 200111
Total consumption , coal , Alaska ,2001,10,35.67, Alaska 200110
Total consumption , coal , Alaska ,2001,9,53.76, Alaska 20019
Total consumption , coal , Alaska ,2001,8,59.117, Alaska 20018
Total consumption , coal , Alaska ,2001,7,49.973, Alaska 20017
Total consumption , coal , Alaska ,2001,6,36.466, Alaska 20016
Total consumption , coal , Alaska ,2001,5,37.199, Alaska 20015
Total consumption , coal , Alaska ,2001,4,34.252, Alaska 20014
Total consumption , coal , Alaska ,2001,3,46.751, Alaska 20013
Total consumption , coal , Alaska ,2001,2,48.087, Alaska 20012
Total consumption , coal , Alaska ,2001,1,42.425, Alaska 20011
Total consumption , coal , Arizona ,2017,7,1784.377, Arizona 20177
Total consumption , coal , Arizona ,2017,6,1409.11, Arizona 20176
Total consumption , coal , Arizona ,2017,5,1196.379, Arizona 20175
Total consumption , coal , Arizona ,2017,4,964.79, Arizona 20174
Total consumption , coal , Arizona ,2017,3,1131.076, Arizona 20173
Total consumption , coal , Arizona ,2017,2,1337.849, Arizona 20172
Total consumption , coal , Arizona ,2017,1,1546.697, Arizona 20171
Total consumption , coal , Arizona ,2016,12,1655.643, Arizona 201612
Total consumption , coal , Arizona ,2016,11,1196.354, Arizona 201611
Total consumption , coal , Arizona ,2016,10,1583.122, Arizona 201610
Total consumption , coal , Arizona ,2016,9,1596.479, Arizona 20169
Total consumption , coal , Arizona ,2016,8,1768.237, Arizona 20168
Total consumption , coal , Arizona ,2016,7,1703.605, Arizona 20167
Total consumption , coal , Arizona ,2016,6,1495.157, Arizona 20166
Total consumption , coal , Arizona ,2016,5,1221.859, Arizona 20165
Total consumption , coal , Arizona ,2016,4,920.381, Arizona 20164
Total consumption , coal , Arizona ,2016,3,936.603, Arizona 20163
Total consumption , coal , Arizona ,2016,2,1084.257, Arizona 20162
Total consumption , coal , Arizona ,2016,1,1477.622, Arizona 20161
Total consumption , coal , Arizona ,2015,12,1494.225, Arizona 201512
Total consumption , coal , Arizona ,2015,11,1404.304, Arizona 201511
Total consumption , coal , Arizona ,2015,10,1709.335, Arizona 201510
Total consumption , coal , Arizona ,2015,9,1772.869, Arizona 20159
Total consumption , coal , Arizona ,2015,8,1894.551, Arizona 20158
Total consumption , coal , Arizona ,2015,7,2040.271, Arizona 20157
Total consumption , coal , Arizona ,2015,6,1838.892, Arizona 20156
Total consumption , coal , Arizona ,2015,5,1723.141, Arizona 20155
Total consumption , coal , Arizona ,2015,4,1377.18, Arizona 20154
